stats,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
mean,181.32441,83.55929,79.9262,276.39669,55.52986,67.44444,56.49643,110.9582,46.84664,79.34317,63.70992,264.48674,119.62983,72.42421,136.07682,97.00199,51.55584,113.45595,73.54305,122.31648,60.35816,91.93403,140.17155,85.20837,123.60631,66.20417,44.66522,60.48394,138.51351,63.02864,102.46889,94.07294,61.11635,59.05792,33.65884,91.29493,79.86244,119.46122,52.63885,43.60114,120.50503,41.00048,65.68395,140.06238,70.61828,42.49902,77.25471,54.50842,87.47026,73.00912,30.61221,24.18534,78.73239,72.11072,61.0277,128.47598,63.21294,79.47177,35.29873,65.17857,80.09241,151.40422,215.16216,63.46731,77.50693,126.55437,71.84419,54.2635,58.60971,84.85488,34.456,36.93878,172.76362,41.06161,101.23152,114.60113,37.02144,62.2525,61.03898,162.48175,40.11821,270.39501,61.00101,48.59261,71.95292,235.64341,223.69451,87.88934,92.72988,48.13616,128.04344,59.84211,104.11851,73.7349,60.88889,59.54182,51.26471,80.76543,70.11949,51.89571,54.92623,24.79987,103.54562,202.07752,58.86617,76.23568,64.09427,24.04459,40.42189,68.05102,71.23001,33.48189,55.3188,62.53616,57.12078,193.47997
std,2670.1952,264.32703,166.85984,3207.89905,147.76798,184.09632,112.54221,1037.68177,184.63172,1334.90617,183.72382,3705.48117,1255.74853,1105.58175,2582.96236,1162.83573,165.94303,1280.41251,422.17564,1296.26291,372.58685,382.87314,1288.44115,305.97612,1297.44997,235.72712,127.17352,375.40258,926.19479,374.50162,354.39922,295.01288,171.22242,106.81315,58.58585,1458.34794,223.2461,1183.39345,129.2301,136.61135,1556.86571,191.75851,283.71411,2594.54624,403.6417,107.58314,482.76063,272.83448,481.48681,136.49297,125.362,28.2341,550.72448,331.09959,103.44102,1564.79856,1061.6633,268.53868,82.621,147.51568,919.04588,1596.62233,353.4903,266.32132,152.30548,824.29199,677.10299,152.77538,171.08513,236.93298,67.52965,67.62839,1935.98661,59.38982,1072.89687,456.29411,380.46557,225.23568,196.12624,1524.01458,184.36525,4712.7676,161.78042,297.75829,249.84097,1219.43491,2547.88909,1311.95146,224.65092,105.88164,2374.78091,58.26211,593.50605,308.06817,137.11322,141.12534,159.33079,213.57218,221.11059,196.72336,159.50827,107.88208,450.63539,2628.86634,286.04454,278.22583,218.86484,26.28386,73.8756,204.03634,258.87428,149.44872,577.64624,188.09334,273.63031,1796.81006
median,44.0,29.0,41.5,21.0,18.0,32.0,30.0,27.0,23.0,24.0,23.0,13.0,19.0,16.0,18.0,30.0,26.0,14.0,8.5,24.0,22.0,24.0,31.0,31.0,25.0,31.0,19.0,10.0,39.0,20.0,38.0,29.0,28.0,35.0,23.0,22.0,39.0,21.0,24.0,17.0,27.0,23.0,33.0,24.0,21.0,18.0,13.0,15.0,26.0,39.0,15.0,18.0,22.0,27.0,34.0,23.0,16.0,20.0,24.0,33.0,26.0,31.0,140.0,14.0,39.0,33.0,24.0,27.0,29.0,35.0,17.0,25.0,36.0,29.0,21.0,31.0,16.0,28.0,27.0,36.0,18.0,21.0,27.0,21.0,24.0,32.0,27.0,20.0,33.0,21.0,31.0,37.0,29.0,26.0,26.0,20.0,21.0,41.0,40.0,21.0,23.0,12.0,35.0,35.0,6.0,29.0,24.0,20.0,18.0,27.0,29.0,8.0,10.0,32.0,27.0,37.0
q1,27.0,18.0,29.0,12.0,8.0,22.0,19.0,17.0,15.0,18.0,12.0,9.0,10.0,12.0,11.0,20.0,16.0,7.0,4.0,7.0,16.0,10.0,21.0,23.0,13.0,17.0,14.0,5.0,24.0,13.0,23.0,16.0,17.0,23.0,17.0,15.0,27.0,11.0,17.0,10.0,17.0,13.0,24.0,14.0,13.0,11.0,8.0,9.0,18.0,25.0,8.0,10.0,14.0,17.0,22.0,15.0,11.0,12.0,17.0,19.0,17.0,16.0,88.5,6.0,26.0,18.0,16.0,19.0,19.0,21.0,10.0,16.0,22.0,19.0,11.0,19.0,10.0,20.0,18.0,23.0,11.0,11.0,15.0,13.0,15.0,20.0,17.0,11.0,20.0,13.0,21.0,30.0,17.0,15.0,14.0,9.0,13.0,23.0,30.0,13.0,11.0,7.0,17.0,21.0,1.0,15.0,18.0,14.0,10.0,16.0,20.0,1.5,4.0,19.0,16.0,24.0
q3,86.0,55.0,69.0,51.0,43.0,53.0,55.25,51.0,35.0,35.0,48.0,34.0,56.75,26.0,33.0,50.0,42.0,28.0,20.0,79.0,41.0,51.0,49.0,48.0,44.5,55.0,30.0,27.0,71.0,31.0,77.5,59.0,51.0,58.0,33.0,38.0,64.75,39.0,42.0,33.0,48.0,36.0,51.0,48.0,40.0,32.5,39.0,26.0,42.0,65.0,26.0,30.0,36.0,43.0,57.0,42.0,28.0,49.0,36.0,55.0,40.0,66.0,209.0,37.0,77.0,69.0,38.0,42.0,48.0,68.0,30.0,36.0,65.0,43.0,46.0,62.0,26.0,46.0,50.0,76.0,29.0,56.0,50.0,34.0,44.0,65.5,49.0,32.0,64.0,36.0,52.0,70.5,58.0,50.0,48.75,52.0,38.0,75.5,55.0,41.0,43.0,19.0,85.0,81.75,27.0,53.0,40.75,28.0,35.0,45.0,44.0,24.0,30.0,56.0,45.0,65.0
mu_for_lognorm,3.91967,3.52485,3.8653,3.39988,2.94861,3.62045,3.51341,3.50156,3.20403,3.27905,3.23707,2.96381,3.17176,3.01395,2.96309,3.54339,3.22467,2.80796,2.35522,3.19094,3.27428,3.23249,3.61783,3.63453,3.25619,3.41898,3.1257,2.55593,3.78608,3.05931,3.80959,3.50326,3.33226,3.63201,3.1267,3.21892,3.80537,3.12116,3.37352,2.99458,3.42547,3.0542,3.63162,3.32058,3.14692,3.04558,2.93302,2.82518,3.44797,3.74807,2.58083,2.74795,3.15522,3.36366,3.64298,3.2998,2.85109,3.19726,3.17749,3.54331,3.2936,3.47638,4.82043,2.73695,3.85489,3.61872,3.27528,3.38548,3.4827,3.72624,2.93556,3.18801,3.69477,3.33343,3.18873,3.60168,2.71818,3.51356,3.4695,3.84576,2.92159,3.30818,3.37389,3.02913,3.35971,3.73729,3.47985,2.96197,3.69239,3.20312,3.59138,3.80369,3.55169,3.37147,3.35232,3.09836,3.16302,3.77922,3.80589,3.07185,3.1247,2.42304,3.69318,3.76938,2.06706,3.39204,3.40941,2.91111,2.92056,3.40377,3.4822,2.03665,2.37822,3.48205,3.29642,3.77784
sigma_for_lognorm,0.93953,1.16605,0.86369,1.37368,1.3956,0.89982,0.8893,1.10652,0.92142,0.74232,1.24545,1.30192,1.3806,0.95911,1.16172,1.01585,1.07757,1.45824,1.41217,1.61552,0.90125,1.39968,1.04885,0.93425,1.27341,1.1594,0.88871,1.44763,1.16861,1.09319,1.01988,1.24133,1.2174,0.86427,0.86296,0.92669,0.85085,1.30215,0.88579,1.04569,1.06843,0.92449,0.79847,1.19039,1.18534,1.00532,1.37386,1.0973,0.96958,0.90681,1.23628,1.01155,1.15443,1.06159,0.84292,1.19029,1.07981,1.3753,0.79481,0.98125,1.02583,1.42138,1.16494,1.52288,0.88156,1.23575,0.98531,0.94441,0.87736,1.00247,0.9363,0.81647,1.05844,0.86438,1.31996,1.21124,1.00171,0.86161,0.94094,1.06911,0.989,1.26838,1.08438,1.00413,1.07702,1.29099,1.16113,1.11575,1.08664,0.98349,0.92992,0.72351,1.14577,1.12862,1.10212,1.33956,1.03149,1.0044,0.66463,1.12019,1.22632,1.09486,1.21137,1.21943,1.83678,1.17147,0.93504,0.79377,1.23316,1.05082,0.9717,1.61741,1.56324,1.05328,0.99304,1.04169
